ID,Target
1,Video-Play
2,HomeAppliance-Control
3,Music-Play
4,Alarm-Update
5,HomeAppliance-Control
6,FilmTele-Play
7,FilmTele-Play
8,Radio-Listen
9,Calendar-Query
10,FilmTele-Play
11,Alarm-Update
12,Music-Play
13,Travel-Query
14,Video-Play
15,Radio-Listen
16,Alarm-Update
17,Video-Play
18,Weather-Query
19,Alarm-Update
20,FilmTele-Play
21,Video-Play
22,FilmTele-Play
23,FilmTele-Play
24,Alarm-Update
25,Weather-Query
26,FilmTele-Play
27,Video-Play
28,Video-Play
29,Music-Play
30,Alarm-Update
31,FilmTele-Play
32,Music-Play
33,Radio-Listen
34,Video-Play
35,Radio-Listen
36,Video-Play
37,Video-Play
38,Video-Play
39,FilmTele-Play
40,Video-Play
41,Travel-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Music-Play
46,Calendar-Query
47,Video-Play
48,FilmTele-Play
49,Travel-Query
50,FilmTele-Play
51,Travel-Query
52,FilmTele-Play
53,Weather-Query
54,Video-Play
55,Radio-Listen
56,FilmTele-Play
57,Radio-Listen
58,Travel-Query
59,Music-Play
60,Alarm-Update
61,Weather-Query
62,FilmTele-Play
63,FilmTele-Play
64,Music-Play
65,Video-Play
66,Radio-Listen
67,Video-Play
68,FilmTele-Play
69,Video-Play
70,FilmTele-Play
71,Music-Play
72,FilmTele-Play
73,Alarm-Update
74,Radio-Listen
75,Weather-Query
76,Radio-Listen
77,Video-Play
78,FilmTele-Play
79,Video-Play
80,FilmTele-Play
81,FilmTele-Play
82,Travel-Query
83,Music-Play
84,HomeAppliance-Control
85,FilmTele-Play
86,Video-Play
87,Travel-Query
88,Calendar-Query
89,FilmTele-Play
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Radio-Listen
95,Music-Play
96,Alarm-Update
97,FilmTele-Play
98,Video-Play
99,FilmTele-Play
100,Radio-Listen
101,FilmTele-Play
102,FilmTele-Play
103,Music-Play
104,Video-Play
105,FilmTele-Play
106,Alarm-Update
107,FilmTele-Play
108,Radio-Listen
109,Alarm-Update
110,Weather-Query
111,Music-Play
112,Radio-Listen
113,HomeAppliance-Control
114,Alarm-Update
115,HomeAppliance-Control
116,FilmTele-Play
117,FilmTele-Play
118,Video-Play
119,Calendar-Query
120,FilmTele-Play
121,FilmTele-Play
122,Alarm-Update
123,Calendar-Query
124,Music-Play
125,Radio-Listen
126,Calendar-Query
127,Travel-Query
128,FilmTele-Play
129,Alarm-Update
130,FilmTele-Play
131,Calendar-Query
132,Video-Play
133,FilmTele-Play
134,Video-Play
135,Music-Play
136,Video-Play
137,Weather-Query
138,Radio-Listen
139,Music-Play
140,FilmTele-Play
141,Travel-Query
142,Alarm-Update
143,FilmTele-Play
144,Alarm-Update
145,FilmTele-Play
146,Calendar-Query
147,HomeAppliance-Control
148,FilmTele-Play
149,FilmTele-Play
150,Alarm-Update
151,FilmTele-Play
152,Weather-Query
153,Music-Play
154,HomeAppliance-Control
155,FilmTele-Play
156,Calendar-Query
157,Video-Play
