ID,Target
1,Video-Play
2,HomeAppliance-Control
3,Music-Play
4,Alarm-Update
5,HomeAppliance-Control
6,Weather-Query
7,FilmTele-Play
8,Music-Play
9,Calendar-Query
10,Video-Play
11,Alarm-Update
12,FilmTele-Play
13,Travel-Query
14,Video-Play
15,Radio-Listen
16,Alarm-Update
17,Video-Play
18,Weather-Query
19,Alarm-Update
20,Other
21,Video-Play
22,FilmTele-Play
23,FilmTele-Play
24,Alarm-Update
25,FilmTele-Play
26,FilmTele-Play
27,Video-Play
28,Video-Play
29,Music-Play
30,Alarm-Update
31,Other
32,Music-Play
33,Radio-Listen
34,Video-Play
35,Radio-Listen
36,Music-Play
37,Video-Play
38,Video-Play
39,FilmTele-Play
40,Video-Play
41,Travel-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,FilmTele-Play
46,Calendar-Query
47,Weather-Query
48,Other
49,Travel-Query
50,Other
51,HomeAppliance-Control
52,FilmTele-Play
53,Weather-Query
54,FilmTele-Play
55,Radio-Listen
56,Other
57,Radio-Listen
58,Travel-Query
59,Music-Play
60,Travel-Query
61,Weather-Query
62,FilmTele-Play
63,Music-Play
64,FilmTele-Play
65,FilmTele-Play
66,Radio-Listen
67,Video-Play
68,FilmTele-Play
69,Calendar-Query
70,FilmTele-Play
71,Music-Play
72,Other
73,FilmTele-Play
74,Radio-Listen
75,Weather-Query
76,Radio-Listen
77,Video-Play
78,Other
79,Video-Play
80,FilmTele-Play
81,FilmTele-Play
82,Travel-Query
83,Music-Play
84,HomeAppliance-Control
85,FilmTele-Play
86,Alarm-Update
87,FilmTele-Play
88,Calendar-Query
89,Other
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,Video-Play
94,Radio-Listen
95,Music-Play
96,Weather-Query
97,Other
98,Video-Play
99,FilmTele-Play
100,Radio-Listen
101,FilmTele-Play
102,Other
103,Music-Play
104,Video-Play
105,FilmTele-Play
106,Alarm-Update
107,Other
108,Radio-Listen
109,Weather-Query
110,Video-Play
111,Music-Play
112,Music-Play
113,HomeAppliance-Control
114,Alarm-Update
115,HomeAppliance-Control
116,FilmTele-Play
117,FilmTele-Play
118,Video-Play
119,Calendar-Query
120,Video-Play
121,FilmTele-Play
122,Alarm-Update
123,Calendar-Query
124,Radio-Listen
125,Calendar-Query
126,Calendar-Query
127,Travel-Query
128,FilmTele-Play
129,Alarm-Update
130,FilmTele-Play
131,Calendar-Query
132,FilmTele-Play
133,FilmTele-Play
134,Video-Play
135,FilmTele-Play
136,Video-Play
137,Weather-Query
138,Radio-Listen
139,FilmTele-Play
140,FilmTele-Play
141,Travel-Query
142,Alarm-Update
143,FilmTele-Play
144,Alarm-Update
145,FilmTele-Play
146,Calendar-Query
147,HomeAppliance-Control
148,FilmTele-Play
149,Other
150,Alarm-Update
151,Other
152,Travel-Query
153,Other
154,HomeAppliance-Control
155,Video-Play
156,Travel-Query
157,Video-Play
158,Music-Play
159,Video-Play
160,Video-Play
161,Radio-Listen
162,Alarm-Update
163,Other
164,FilmTele-Play
165,Video-Play
