ID,Target
1,TVProgram-Play
2,HomeAppliance-Control
3,Music-Play
4,Alarm-Update
5,HomeAppliance-Control
6,Alarm-Update
7,Video-Play
8,Music-Play
9,Calendar-Query
10,FilmTele-Play
11,Alarm-Update
12,FilmTele-Play
13,Weather-Query
14,Alarm-Update
15,Radio-Listen
16,Travel-Query
17,Audio-Play
18,Weather-Query
19,Calendar-Query
20,Audio-Play
21,Video-Play
22,Music-Play
23,Weather-Query
24,Alarm-Update
25,Audio-Play
26,FilmTele-Play
27,TVProgram-Play
28,Travel-Query
29,Music-Play
30,Alarm-Update
31,Other
32,Music-Play
33,Radio-Listen
34,Video-Play
35,Radio-Listen
36,Video-Play
37,Video-Play
38,Video-Play
39,Video-Play
40,Travel-Query
41,Weather-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Audio-Play
46,Calendar-Query
47,HomeAppliance-Control
48,FilmTele-Play
49,TVProgram-Play
50,Other
51,Weather-Query
52,FilmTele-Play
53,Travel-Query
54,FilmTele-Play
55,Radio-Listen
56,Calendar-Query
57,TVProgram-Play
58,Weather-Query
59,Music-Play
60,Alarm-Update
61,Travel-Query
62,Calendar-Query
63,FilmTele-Play
64,Video-Play
65,TVProgram-Play
66,Radio-Listen
67,Video-Play
68,HomeAppliance-Control
69,Video-Play
70,FilmTele-Play
71,Music-Play
72,Calendar-Query
73,Radio-Listen
74,Radio-Listen
75,Weather-Query
76,Radio-Listen
77,Weather-Query
78,Travel-Query
79,Video-Play
80,TVProgram-Play
81,Radio-Listen
82,Travel-Query
83,Music-Play
84,Video-Play
85,Other
86,Video-Play
87,Weather-Query
88,Calendar-Query
89,Other
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Radio-Listen
95,Music-Play
96,Travel-Query
97,Other
98,Radio-Listen
99,Audio-Play
100,Radio-Listen
101,Travel-Query
102,Travel-Query
103,Radio-Listen
104,Video-Play
105,Audio-Play
106,Alarm-Update
107,Calendar-Query
108,Travel-Query
109,Alarm-Update
110,Weather-Query
111,Music-Play
112,Radio-Listen
113,HomeAppliance-Control
114,Alarm-Update
115,FilmTele-Play
116,Other
117,Other
118,Weather-Query
119,Calendar-Query
120,Video-Play
121,HomeAppliance-Control
122,Travel-Query
123,Calendar-Query
124,Radio-Listen
125,TVProgram-Play
126,TVProgram-Play
127,Weather-Query
128,Radio-Listen
129,TVProgram-Play
130,Video-Play
131,Calendar-Query
132,Alarm-Update
133,Alarm-Update
134,Video-Play
135,Other
136,Video-Play
137,Weather-Query
138,Radio-Listen
139,Radio-Listen
140,Other
141,Travel-Query
142,Video-Play
143,FilmTele-Play
144,Alarm-Update
145,FilmTele-Play
146,Calendar-Query
147,HomeAppliance-Control
148,Alarm-Update
149,Music-Play
150,Travel-Query
151,Radio-Listen
152,Weather-Query
153,Music-Play
154,HomeAppliance-Control
155,Radio-Listen
156,Travel-Query
157,Video-Play
158,Music-Play
159,FilmTele-Play
160,HomeAppliance-Control
161,Radio-Listen
162,Weather-Query
163,Other
164,FilmTele-Play
165,HomeAppliance-Control
166,Radio-Listen
167,TVProgram-Play
168,Music-Play
169,Video-Play
170,Calendar-Query
171,Alarm-Update
172,HomeAppliance-Control
173,Radio-Listen
174,Alarm-Update
175,Alarm-Update
176,Travel-Query
177,Video-Play
178,HomeAppliance-Control
179,TVProgram-Play
180,Weather-Query
181,FilmTele-Play
182,Alarm-Update
183,Calendar-Query
184,HomeAppliance-Control
185,FilmTele-Play
186,HomeAppliance-Control
187,Alarm-Update
188,Music-Play
189,Music-Play
190,Calendar-Query
191,FilmTele-Play
192,Alarm-Update
193,Alarm-Update
194,TVProgram-Play
195,Calendar-Query
196,Radio-Listen
197,Music-Play
198,Radio-Listen
199,HomeAppliance-Control
200,Alarm-Update
201,TVProgram-Play
202,Music-Play
203,Radio-Listen
204,Video-Play
205,HomeAppliance-Control
206,Other
207,FilmTele-Play
208,Video-Play
209,FilmTele-Play
210,HomeAppliance-Control
211,Alarm-Update
212,Radio-Listen
213,Music-Play
214,HomeAppliance-Control
215,Radio-Listen
216,Travel-Query
217,HomeAppliance-Control
218,FilmTele-Play
219,Alarm-Update
220,Video-Play
221,Weather-Query
222,Travel-Query
223,Radio-Listen
224,Music-Play
225,Calendar-Query
226,FilmTele-Play
227,Travel-Query
228,Music-Play
229,Radio-Listen
230,Video-Play
231,Video-Play
232,Travel-Query
233,Video-Play
234,Radio-Listen
235,Alarm-Update
236,Radio-Listen
237,FilmTele-Play
238,Weather-Query
239,Alarm-Update
240,Radio-Listen
241,Alarm-Update
242,Music-Play
243,Other
244,Video-Play
245,FilmTele-Play
246,Calendar-Query
247,HomeAppliance-Control
248,Radio-Listen
249,FilmTele-Play
250,FilmTele-Play
251,FilmTele-Play
252,HomeAppliance-Control
253,Alarm-Update
254,Travel-Query
255,Radio-Listen
256,FilmTele-Play
257,TVProgram-Play
258,Calendar-Query
259,Alarm-Update
260,Radio-Listen
261,Travel-Query
262,Music-Play
263,Other
264,Audio-Play
265,FilmTele-Play
266,Video-Play
267,Other
268,Audio-Play
269,Travel-Query
270,Weather-Query
271,Alarm-Update
272,Video-Play
273,Radio-Listen
274,Travel-Query
275,Audio-Play
276,HomeAppliance-Control
277,HomeAppliance-Control
278,Radio-Listen
279,Alarm-Update
280,Music-Play
281,Music-Play
282,FilmTele-Play
283,Weather-Query
284,Video-Play
285,Weather-Query
286,FilmTele-Play
287,Radio-Listen
288,Music-Play
289,Weather-Query
290,Weather-Query
291,TVProgram-Play
292,Alarm-Update
293,Music-Play
294,Video-Play
295,Other
296,FilmTele-Play
297,Video-Play
298,Video-Play
299,Travel-Query
300,HomeAppliance-Control
301,Radio-Listen
302,Weather-Query
303,FilmTele-Play
304,Calendar-Query
305,Alarm-Update
306,FilmTele-Play
307,Travel-Query
308,Travel-Query
309,FilmTele-Play
310,Video-Play
311,Radio-Listen
312,HomeAppliance-Control
313,Music-Play
314,Video-Play
315,Other
316,Weather-Query
317,Music-Play
318,Calendar-Query
319,Travel-Query
320,Radio-Listen
321,Audio-Play
322,TVProgram-Play
323,Video-Play
324,Audio-Play
325,FilmTele-Play
326,Alarm-Update
327,HomeAppliance-Control
328,Video-Play
329,Other
330,Weather-Query
331,Radio-Listen
332,Video-Play
333,TVProgram-Play
334,Other
335,HomeAppliance-Control
336,Alarm-Update
337,HomeAppliance-Control
338,Video-Play
339,Music-Play
340,Audio-Play
341,Audio-Play
342,Video-Play
343,Radio-Listen
344,Music-Play
345,Calendar-Query
346,HomeAppliance-Control
347,FilmTele-Play
348,Video-Play
349,Weather-Query
350,Radio-Listen
351,HomeAppliance-Control
352,Video-Play
353,Radio-Listen
354,Audio-Play
355,Alarm-Update
356,Weather-Query
357,HomeAppliance-Control
358,Travel-Query
359,FilmTele-Play
360,Calendar-Query
361,Radio-Listen
362,Calendar-Query
363,Travel-Query
364,Radio-Listen
365,Music-Play
366,Other
367,Radio-Listen
368,Music-Play
369,Radio-Listen
370,Audio-Play
371,Weather-Query
372,Radio-Listen
373,FilmTele-Play
374,Music-Play
375,Other
376,Music-Play
377,HomeAppliance-Control
378,Video-Play
379,Weather-Query
380,Video-Play
381,Travel-Query
382,Radio-Listen
383,Travel-Query
384,Travel-Query
385,FilmTele-Play
386,Other
387,Weather-Query
388,Audio-Play
389,Radio-Listen
390,Radio-Listen
391,Audio-Play
392,Travel-Query
393,Audio-Play
394,Alarm-Update
395,TVProgram-Play
396,Radio-Listen
397,Video-Play
398,Calendar-Query
399,Weather-Query
400,Weather-Query
401,FilmTele-Play
402,HomeAppliance-Control
403,Music-Play
404,Alarm-Update
405,Video-Play
406,Video-Play
407,Radio-Listen
408,Video-Play
409,Calendar-Query
410,TVProgram-Play
411,Video-Play
412,Music-Play
413,Video-Play
414,Travel-Query
415,FilmTele-Play
416,Calendar-Query
417,Alarm-Update
418,Alarm-Update
419,Radio-Listen
420,FilmTele-Play
421,Video-Play
422,Video-Play
423,Calendar-Query
424,FilmTele-Play
425,Radio-Listen
426,Music-Play
427,Radio-Listen
428,Radio-Listen
429,Audio-Play
430,HomeAppliance-Control
431,Alarm-Update
432,FilmTele-Play
433,Travel-Query
434,Calendar-Query
435,Music-Play
436,Calendar-Query
437,HomeAppliance-Control
438,Weather-Query
439,Alarm-Update
440,Calendar-Query
441,Music-Play
442,FilmTele-Play
443,Other
444,Alarm-Update
445,Travel-Query
446,Music-Play
447,Radio-Listen
448,HomeAppliance-Control
449,Audio-Play
450,Radio-Listen
451,Music-Play
452,Calendar-Query
453,Radio-Listen
454,Video-Play
455,Radio-Listen
456,Travel-Query
