ID,Target
1,TVProgram-Play
2,HomeAppliance-Control
3,Audio-Play
4,Alarm-Update
5,HomeAppliance-Control
6,Music-Play
7,FilmTele-Play
8,Music-Play
9,Calendar-Query
10,Video-Play
11,Alarm-Update
12,FilmTele-Play
13,Travel-Query
14,TVProgram-Play
15,Radio-Listen
16,Alarm-Update
17,Video-Play
18,Weather-Query
19,Weather-Query
20,FilmTele-Play
21,Video-Play
22,FilmTele-Play
23,Weather-Query
24,FilmTele-Play
25,Music-Play
26,Other
27,Radio-Listen
28,Video-Play
29,Music-Play
30,Alarm-Update
31,Music-Play
32,Music-Play
33,Radio-Listen
34,Video-Play
35,FilmTele-Play
36,Video-Play
37,Video-Play
38,Video-Play
39,Radio-Listen
40,Video-Play
41,Weather-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Audio-Play
46,Calendar-Query
47,Video-Play
48,FilmTele-Play
49,FilmTele-Play
50,Radio-Listen
51,Travel-Query
52,FilmTele-Play
53,Weather-Query
54,Audio-Play
55,TVProgram-Play
56,Calendar-Query
57,Radio-Listen
58,Travel-Query
59,FilmTele-Play
60,Travel-Query
61,Weather-Query
62,FilmTele-Play
63,FilmTele-Play
64,TVProgram-Play
65,TVProgram-Play
66,Radio-Listen
67,Video-Play
68,Video-Play
69,Video-Play
70,FilmTele-Play
71,Music-Play
72,Calendar-Query
73,FilmTele-Play
74,Radio-Listen
75,Other
76,FilmTele-Play
77,Video-Play
78,Radio-Listen
79,Video-Play
80,Video-Play
81,FilmTele-Play
82,Travel-Query
83,Music-Play
84,HomeAppliance-Control
85,FilmTele-Play
86,Video-Play
87,Travel-Query
88,Calendar-Query
89,Music-Play
90,FilmTele-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Video-Play
95,FilmTele-Play
96,HomeAppliance-Control
97,Calendar-Query
98,Video-Play
99,Audio-Play
100,Radio-Listen
101,Video-Play
102,Music-Play
103,Music-Play
104,Video-Play
105,Audio-Play
106,Alarm-Update
107,Radio-Listen
108,Music-Play
109,Weather-Query
110,Weather-Query
111,Audio-Play
112,Audio-Play
113,HomeAppliance-Control
114,Alarm-Update
115,Other
116,Music-Play
117,Audio-Play
118,TVProgram-Play
119,Calendar-Query
120,Video-Play
121,FilmTele-Play
122,Alarm-Update
123,Calendar-Query
124,Audio-Play
125,TVProgram-Play
126,TVProgram-Play
127,Travel-Query
128,Audio-Play
129,Alarm-Update
130,Video-Play
131,Calendar-Query
132,TVProgram-Play
133,Alarm-Update
134,Video-Play
135,Video-Play
136,Video-Play
137,Calendar-Query
138,Music-Play
139,Music-Play
140,Video-Play
141,Travel-Query
142,Video-Play
143,Audio-Play
144,Alarm-Update
145,Video-Play
146,Calendar-Query
147,HomeAppliance-Control
148,Alarm-Update
149,Audio-Play
150,Alarm-Update
151,Alarm-Update
152,HomeAppliance-Control
153,FilmTele-Play
154,HomeAppliance-Control
155,Radio-Listen
156,Calendar-Query
157,Video-Play
158,FilmTele-Play
159,FilmTele-Play
160,Video-Play
161,Radio-Listen
162,Alarm-Update
163,FilmTele-Play
164,Audio-Play
165,HomeAppliance-Control
166,Radio-Listen
167,Video-Play
168,Music-Play
169,Travel-Query
170,Calendar-Query
171,Alarm-Update
172,HomeAppliance-Control
173,Radio-Listen
174,Alarm-Update
175,Alarm-Update
176,Travel-Query
177,Calendar-Query
178,HomeAppliance-Control
179,Alarm-Update
180,Alarm-Update
181,FilmTele-Play
182,Alarm-Update
183,Alarm-Update
184,HomeAppliance-Control
185,Audio-Play
186,HomeAppliance-Control
187,Other
188,Video-Play
189,Music-Play
190,Calendar-Query
191,FilmTele-Play
192,Video-Play
193,Calendar-Query
194,TVProgram-Play
195,Radio-Listen
196,Radio-Listen
197,Music-Play
198,Radio-Listen
199,HomeAppliance-Control
200,Radio-Listen
201,TVProgram-Play
202,FilmTele-Play
203,Radio-Listen
204,FilmTele-Play
205,HomeAppliance-Control
206,Audio-Play
207,Other
208,FilmTele-Play
209,FilmTele-Play
210,Calendar-Query
211,Alarm-Update
212,TVProgram-Play
213,FilmTele-Play
214,HomeAppliance-Control
215,Radio-Listen
216,Other
217,HomeAppliance-Control
218,Music-Play
219,Alarm-Update
220,FilmTele-Play
221,Weather-Query
222,Travel-Query
223,Radio-Listen
224,Music-Play
225,Calendar-Query
226,FilmTele-Play
227,HomeAppliance-Control
228,Radio-Listen
229,TVProgram-Play
230,Alarm-Update
231,Video-Play
232,Travel-Query
233,Calendar-Query
234,Radio-Listen
235,Alarm-Update
236,FilmTele-Play
237,FilmTele-Play
238,TVProgram-Play
239,Alarm-Update
240,Radio-Listen
241,Alarm-Update
242,Radio-Listen
243,Weather-Query
244,Video-Play
245,Video-Play
246,Video-Play
247,Video-Play
248,FilmTele-Play
249,TVProgram-Play
250,Audio-Play
251,Music-Play
252,Other
253,Alarm-Update
254,Travel-Query
255,Radio-Listen
256,Music-Play
257,TVProgram-Play
258,Video-Play
259,Alarm-Update
260,Video-Play
261,Travel-Query
262,Other
263,FilmTele-Play
264,FilmTele-Play
265,Audio-Play
266,Video-Play
267,FilmTele-Play
268,Music-Play
269,HomeAppliance-Control
270,Weather-Query
271,Alarm-Update
272,Video-Play
273,Radio-Listen
274,Travel-Query
275,FilmTele-Play
276,HomeAppliance-Control
277,HomeAppliance-Control
278,Radio-Listen
279,Alarm-Update
280,Music-Play
281,Music-Play
282,Radio-Listen
283,Travel-Query
284,Music-Play
285,Weather-Query
286,FilmTele-Play
287,Music-Play
288,Other
289,Radio-Listen
290,Weather-Query
291,TVProgram-Play
292,Alarm-Update
293,Music-Play
294,Video-Play
295,FilmTele-Play
296,FilmTele-Play
297,Video-Play
298,Video-Play
299,TVProgram-Play
300,HomeAppliance-Control
301,Radio-Listen
302,Weather-Query
303,TVProgram-Play
304,Audio-Play
305,Alarm-Update
306,FilmTele-Play
307,Travel-Query
308,TVProgram-Play
309,TVProgram-Play
310,Video-Play
311,Radio-Listen
312,Weather-Query
313,Music-Play
314,Video-Play
315,Music-Play
316,Weather-Query
317,Video-Play
318,Calendar-Query
319,Travel-Query
320,Radio-Listen
321,Audio-Play
322,TVProgram-Play
323,Weather-Query
324,Audio-Play
325,Radio-Listen
326,Radio-Listen
327,HomeAppliance-Control
328,Music-Play
329,Radio-Listen
330,Music-Play
331,Radio-Listen
332,FilmTele-Play
333,FilmTele-Play
334,Music-Play
335,HomeAppliance-Control
336,Video-Play
337,HomeAppliance-Control
338,Video-Play
339,Music-Play
340,FilmTele-Play
341,Other
342,Video-Play
343,TVProgram-Play
344,FilmTele-Play
345,Calendar-Query
346,HomeAppliance-Control
347,Video-Play
348,Radio-Listen
349,Calendar-Query
350,Radio-Listen
351,HomeAppliance-Control
352,FilmTele-Play
353,Radio-Listen
354,FilmTele-Play
355,Alarm-Update
356,Weather-Query
357,HomeAppliance-Control
358,Video-Play
359,Radio-Listen
360,Calendar-Query
361,Radio-Listen
362,Radio-Listen
363,Travel-Query
364,Radio-Listen
365,Video-Play
366,Audio-Play
367,Radio-Listen
368,FilmTele-Play
369,Radio-Listen
370,Audio-Play
371,Weather-Query
372,Radio-Listen
373,Video-Play
374,Radio-Listen
375,FilmTele-Play
376,Radio-Listen
377,HomeAppliance-Control
378,FilmTele-Play
379,Weather-Query
380,Travel-Query
381,Travel-Query
382,Radio-Listen
383,Travel-Query
384,HomeAppliance-Control
385,Music-Play
386,Music-Play
387,Weather-Query
388,FilmTele-Play
389,Radio-Listen
390,Audio-Play
391,Music-Play
392,Travel-Query
393,Audio-Play
394,Alarm-Update
395,TVProgram-Play
396,Audio-Play
397,FilmTele-Play
398,Calendar-Query
399,Weather-Query
400,Other
401,FilmTele-Play
402,HomeAppliance-Control
403,Music-Play
404,Alarm-Update
405,Radio-Listen
406,TVProgram-Play
407,FilmTele-Play
408,TVProgram-Play
409,Calendar-Query
410,Radio-Listen
411,Music-Play
412,Audio-Play
413,Video-Play
414,Calendar-Query
415,Music-Play
416,Alarm-Update
417,Alarm-Update
418,Alarm-Update
419,Radio-Listen
420,Other
421,Music-Play
422,Radio-Listen
423,Calendar-Query
424,Video-Play
425,Radio-Listen
426,FilmTele-Play
427,Radio-Listen
428,Radio-Listen
429,Music-Play
430,TVProgram-Play
431,Alarm-Update
432,Video-Play
433,Travel-Query
434,HomeAppliance-Control
435,Music-Play
436,Alarm-Update
437,Calendar-Query
438,Weather-Query
439,TVProgram-Play
440,Calendar-Query
441,Music-Play
442,Music-Play
443,Music-Play
444,Alarm-Update
445,Weather-Query
446,Alarm-Update
447,Alarm-Update
448,HomeAppliance-Control
449,FilmTele-Play
450,Video-Play
