ID,Target
1,TVProgram-Play
2,HomeAppliance-Control
3,Audio-Play
4,Alarm-Update
5,HomeAppliance-Control
6,FilmTele-Play
7,FilmTele-Play
8,Other
9,Calendar-Query
10,Video-Play
11,Alarm-Update
12,Music-Play
13,Travel-Query
14,Video-Play
15,Radio-Listen
16,Alarm-Update
17,Video-Play
18,Weather-Query
19,Other
20,Other
21,Video-Play
22,FilmTele-Play
23,Weather-Query
24,Weather-Query
25,Weather-Query
26,Other
27,Radio-Listen
28,Video-Play
29,Travel-Query
30,Alarm-Update
31,Other
32,Music-Play
33,Radio-Listen
34,Music-Play
35,Radio-Listen
36,Music-Play
37,Video-Play
38,Video-Play
39,FilmTele-Play
40,Video-Play
41,Weather-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Audio-Play
46,Calendar-Query
47,Video-Play
48,Other
49,Other
50,Other
51,Travel-Query
52,Other
53,Weather-Query
54,FilmTele-Play
55,Radio-Listen
56,Calendar-Query
57,Other
58,Travel-Query
59,Music-Play
60,Travel-Query
61,Weather-Query
62,FilmTele-Play
63,Other
64,Other
65,Other
66,Radio-Listen
67,Calendar-Query
68,Other
69,Video-Play
70,FilmTele-Play
71,HomeAppliance-Control
72,Other
73,Other
74,Radio-Listen
75,Other
76,Audio-Play
77,Other
78,Other
79,Video-Play
80,Other
81,FilmTele-Play
82,Travel-Query
83,Music-Play
84,HomeAppliance-Control
85,FilmTele-Play
86,Other
87,Travel-Query
88,Calendar-Query
89,Other
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Other
95,Music-Play
96,Weather-Query
97,Calendar-Query
98,Radio-Listen
99,Audio-Play
100,Radio-Listen
101,Other
102,Other
103,Music-Play
104,Video-Play
105,Audio-Play
106,Alarm-Update
107,Other
108,Radio-Listen
109,Weather-Query
110,Weather-Query
111,Audio-Play
112,Audio-Play
113,HomeAppliance-Control
114,HomeAppliance-Control
115,Video-Play
116,Radio-Listen
117,Other
118,Alarm-Update
119,Calendar-Query
120,Video-Play
121,Video-Play
122,Alarm-Update
123,Calendar-Query
124,Other
125,Calendar-Query
126,Calendar-Query
127,Travel-Query
128,Audio-Play
129,Alarm-Update
130,Other
131,Calendar-Query
132,Calendar-Query
133,Alarm-Update
134,Video-Play
135,Audio-Play
136,Video-Play
137,Weather-Query
138,Music-Play
139,Music-Play
140,Other
141,Travel-Query
142,Other
143,Video-Play
144,Alarm-Update
145,Other
146,Calendar-Query
147,HomeAppliance-Control
148,Other
149,Other
150,Alarm-Update
151,Other
152,Weather-Query
153,Other
154,HomeAppliance-Control
155,Radio-Listen
156,Calendar-Query
157,Video-Play
158,Video-Play
159,FilmTele-Play
160,Other
161,Radio-Listen
162,Alarm-Update
163,Other
164,Audio-Play
165,HomeAppliance-Control
166,Radio-Listen
167,FilmTele-Play
168,Music-Play
169,Travel-Query
170,Calendar-Query
171,Alarm-Update
172,HomeAppliance-Control
173,Other
174,Alarm-Update
175,Alarm-Update
176,Weather-Query
177,Calendar-Query
178,HomeAppliance-Control
179,Alarm-Update
180,FilmTele-Play
181,Other
182,Alarm-Update
183,Alarm-Update
184,HomeAppliance-Control
185,Other
186,HomeAppliance-Control
187,Other
188,Audio-Play
189,Music-Play
190,Calendar-Query
191,FilmTele-Play
192,Video-Play
193,Weather-Query
194,Other
195,Travel-Query
196,Radio-Listen
197,Music-Play
198,FilmTele-Play
199,HomeAppliance-Control
200,Calendar-Query
201,Other
202,Other
203,Radio-Listen
204,FilmTele-Play
205,HomeAppliance-Control
206,Other
207,Other
208,Other
209,Other
210,Calendar-Query
211,Alarm-Update
212,Radio-Listen
213,Music-Play
214,HomeAppliance-Control
215,Radio-Listen
216,Other
217,HomeAppliance-Control
218,Other
219,Alarm-Update
220,Other
221,Weather-Query
222,Travel-Query
223,Radio-Listen
224,Music-Play
225,Calendar-Query
226,Other
227,Other
228,Radio-Listen
229,TVProgram-Play
230,TVProgram-Play
231,Video-Play
232,Travel-Query
233,Other
234,Radio-Listen
235,Alarm-Update
236,FilmTele-Play
237,Other
238,Other
239,Alarm-Update
240,Radio-Listen
241,Alarm-Update
242,Other
243,Weather-Query
244,Other
245,FilmTele-Play
246,Weather-Query
247,Video-Play
248,FilmTele-Play
249,Other
250,Audio-Play
251,FilmTele-Play
252,Alarm-Update
253,Alarm-Update
254,Travel-Query
255,Radio-Listen
256,Travel-Query
257,Other
258,Alarm-Update
259,Alarm-Update
260,Radio-Listen
261,Travel-Query
262,FilmTele-Play
263,Video-Play
264,Other
265,Other
266,Other
267,Radio-Listen
268,Audio-Play
269,HomeAppliance-Control
270,Weather-Query
271,Alarm-Update
272,Video-Play
273,Radio-Listen
274,Travel-Query
275,Audio-Play
276,HomeAppliance-Control
277,HomeAppliance-Control
278,Other
279,Alarm-Update
280,Music-Play
281,Music-Play
282,FilmTele-Play
283,Travel-Query
284,Music-Play
285,Other
286,FilmTele-Play
287,Music-Play
288,Other
289,Weather-Query
290,Weather-Query
291,Other
292,Alarm-Update
293,Music-Play
294,Video-Play
295,Video-Play
296,Calendar-Query
297,Video-Play
298,Other
299,Music-Play
300,HomeAppliance-Control
301,Radio-Listen
302,Weather-Query
303,TVProgram-Play
304,Other
305,Alarm-Update
306,FilmTele-Play
307,Travel-Query
308,Travel-Query
309,Other
310,Video-Play
311,Radio-Listen
312,Weather-Query
313,Music-Play
314,Video-Play
315,Other
316,Weather-Query
317,Alarm-Update
318,Calendar-Query
319,Weather-Query
320,TVProgram-Play
321,Other
322,TVProgram-Play
323,Calendar-Query
324,Audio-Play
325,Calendar-Query
326,Other
327,HomeAppliance-Control
328,FilmTele-Play
329,HomeAppliance-Control
330,Weather-Query
331,Radio-Listen
332,Radio-Listen
333,Alarm-Update
334,Other
335,HomeAppliance-Control
336,Other
337,HomeAppliance-Control
338,Radio-Listen
339,Audio-Play
340,Other
341,Audio-Play
342,Video-Play
343,Other
344,Other
345,Calendar-Query
346,HomeAppliance-Control
347,Other
348,Other
349,Calendar-Query
350,Radio-Listen
351,HomeAppliance-Control
352,FilmTele-Play
353,Other
354,Audio-Play
355,Alarm-Update
356,Weather-Query
357,HomeAppliance-Control
358,Video-Play
359,Other
360,Calendar-Query
361,Radio-Listen
362,Other
363,Travel-Query
364,Radio-Listen
365,Video-Play
366,Other
367,Other
368,FilmTele-Play
369,Radio-Listen
370,Audio-Play
371,Weather-Query
372,Radio-Listen
373,FilmTele-Play
374,Other
375,Other
376,Other
377,HomeAppliance-Control
378,Other
379,Weather-Query
380,Travel-Query
381,Travel-Query
382,Radio-Listen
383,Travel-Query
384,Other
385,Music-Play
386,Other
387,Weather-Query
388,FilmTele-Play
389,Radio-Listen
390,Other
391,Other
392,Travel-Query
393,Audio-Play
394,Alarm-Update
395,Calendar-Query
396,Audio-Play
397,FilmTele-Play
398,Calendar-Query
399,Weather-Query
400,Other
401,Audio-Play
402,HomeAppliance-Control
403,Music-Play
404,Alarm-Update
405,Other
406,Other
407,Other
408,TVProgram-Play
409,Calendar-Query
410,Other
411,Audio-Play
412,Music-Play
413,Other
414,Calendar-Query
415,Calendar-Query
416,Alarm-Update
417,Alarm-Update
418,Alarm-Update
419,Radio-Listen
420,Audio-Play
421,Audio-Play
422,Alarm-Update
423,Calendar-Query
424,Video-Play
425,Radio-Listen
426,Music-Play
427,Radio-Listen
428,Radio-Listen
429,Music-Play
430,Video-Play
431,Alarm-Update
432,Other
433,Travel-Query
434,HomeAppliance-Control
435,Music-Play
436,Other
437,Calendar-Query
438,Weather-Query
439,Alarm-Update
440,Calendar-Query
441,Music-Play
442,Other
443,Other
444,Alarm-Update
445,Weather-Query
446,Music-Play
447,Alarm-Update
448,HomeAppliance-Control
449,Other
450,Video-Play
451,Music-Play
452,Alarm-Update
453,Radio-Listen
454,Radio-Listen
455,Other
456,Radio-Listen
457,Weather-Query
458,Radio-Listen
459,FilmTele-Play
460,Travel-Query
461,Travel-Query
462,FilmTele-Play
463,Weather-Query
464,Music-Play
465,Weather-Query
466,Video-Play
467,HomeAppliance-Control
468,Video-Play
469,Video-Play
470,FilmTele-Play
471,FilmTele-Play
472,Calendar-Query
473,FilmTele-Play
474,Alarm-Update
475,Alarm-Update
476,Video-Play
477,Music-Play
478,Music-Play
479,Other
480,Other
481,Other
482,Radio-Listen
483,FilmTele-Play
484,HomeAppliance-Control
485,HomeAppliance-Control
486,Video-Play
487,FilmTele-Play
488,FilmTele-Play
489,Other
490,FilmTele-Play
491,Alarm-Update
492,Other
493,Other
494,Calendar-Query
495,Video-Play
496,Audio-Play
497,Alarm-Update
498,Audio-Play
499,Other
500,Video-Play
